createdDate,name,playerClass
2015-01-06 23:55:57.271,Skytop's rogue,Rogue
2015-01-07 00:10:57.472,Fish&Chicken,Rogue
2015-01-07 00:23:00.726,Mill Taunt Warrior,Warrior
2015-01-07 00:42:49.242,Call Tundra Rhino to charge!,Hunter
2015-01-07 00:52:38.228,New Age Cancer,Hunter
2015-01-07 01:09:41.261,second hobgoblin idea,Shaman
2015-01-07 03:10:35.689,Control,Mage
2015-01-07 03:15:10.997,aggro,Mage
2015-01-07 05:57:47.925,control warior,Warrior
2015-01-07 06:20:40.054,Swag Abuser's Feign Death,Hunter
2015-01-07 06:22:16.802,cuz shaman,Shaman
2015-01-07 06:24:55.643,Counter Removal,Druid
2015-01-07 06:35:51.604,Fun of Knives,Rogue
2015-01-07 06:42:37.746,FearLock,Warlock
2015-01-07 07:39:33.847,For Reynad,Druid
2015-01-07 07:48:48.271,not the best,Priest
2015-01-07 07:53:40.224,Tirion It Up,Paladin
2015-01-07 08:16:59.214,Unstable Freeze,Mage
2015-01-07 08:30:25.921,(MMM) Multiply Murlocs Mage,Mage
2015-01-07 08:59:39.688,Rattle Priest,Priest
2015-01-07 13:06:24.654,HandsUp!,Rogue
2015-01-07 19:02:02.535,My Xixo Zoo,Warlock
2015-01-07 19:07:49.345,Top ESL Changes,Warlock
2015-01-07 19:29:02.081,DemonlockK v3,Warlock
2015-01-07 19:31:09.065,GvG weapon miracle,Rogue
2015-01-07 20:54:09.880,call of the beasts,Hunter
2015-01-07 22:36:18.091,All will burn!,Paladin
2015-01-08 00:25:14.314,Sprint my little Minions,Rogue
2015-01-08 00:37:59.270,Midrange Priest,Priest
2015-01-08 01:03:02.682,Reytard,Hunter
2015-01-08 03:40:37.118,Eco Warlock,Warlock
2015-01-08 07:20:28.612,Abusive Priest for Ladder,Priest
2015-01-08 07:25:43.267,fatigue ice,Mage
2015-01-08 07:32:58.313,Overramp enemies,Druid
2015-01-08 11:24:27.223,ShieldsUp!,Paladin
2015-01-08 11:35:00.473,Mech Rogue,Rogue
2015-01-08 16:28:34.392,Demon Deck.,Warlock
2015-01-08 20:00:17.781,"Deathrattle, Bloodlust Shaman",Shaman
2015-01-08 22:36:41.513,Shadowform Priest,Priest
2015-01-08 23:12:04.511,Deadly Hunter 0 (Combo-Control)[Ripples],Hunter
2015-01-09 00:35:27.840,ResidentSleeper,Druid
2015-01-09 01:35:56.999,Blades,Rogue
2015-01-09 01:47:15.330,Handy,Shaman
2015-01-09 01:49:45.606,No Cenarius,Druid
2015-01-09 03:19:53.377,pong hunter,Hunter
2015-01-09 04:08:35.872,ChoLowe,Druid
2015-01-09 04:25:21.808,Face Hunter- Postal,Hunter
2015-01-09 05:09:43.674,Swamp Druid,Druid
2015-01-09 05:42:51.556,Paladin: Taunts and healing.,Paladin
2015-01-09 06:05:22.945,Spare Parts Miracle Rogue,Rogue
2015-01-09 07:14:53.619,Bored Control,Shaman
2015-01-09 09:24:04.334,Druid Rush,Druid
2015-01-09 09:30:21.311,Warrior Rush,Warrior
2015-01-09 09:37:09.260,SwagroPriest,Priest
2015-01-09 09:45:40.766,Burn,Hunter
2015-01-09 13:02:45.552,Miracle Priest,Priest
2015-01-09 13:38:20.197,MechBoom,Mage
2015-01-09 18:09:07.548,Spare Warrior ** Work in Progress **,Warrior
2015-01-09 19:24:54.886,Petopia,Hunter
2015-01-09 19:40:16.608,Death Hunter,Hunter
2015-01-09 20:48:07.828,Legendary Druid,Druid
2015-01-10 03:34:38.352,Shagm,Rogue
2015-01-10 03:47:09.646,Headcrack: The Value Chronicles,Rogue
2015-01-10 05:27:22.601,EngageWarrior,Warrior
2015-01-10 06:13:21.807,Anti-NetDecking,Druid
2015-01-10 06:58:42.619,foukurmoms midrange shaman,Shaman
2015-01-10 15:33:37.500,Rattle hunt,Hunter
2015-01-10 16:12:21.056,SylvanHunter Mech Tempo Rogue,Rogue
2015-01-10 18:34:55.764,2+ faring8,Hunter
2015-01-10 19:01:16.973,+2 faring8 (warrior),Warrior
2015-01-10 20:36:31.985,[Legend Player] Midrange Hunter.,Hunter
2015-01-10 22:18:40.959,Ramp8-),Druid
2015-01-10 22:40:05.948,asd,Paladin
2015-01-10 23:23:55.535,Combo Druid,Druid
2015-01-10 23:32:10.546,Mill Druid,Druid
2015-01-11 00:10:38.136,Murlock,Warlock
2015-01-11 00:19:00.944,Midrange Hunter,Hunter
2015-01-11 00:46:44.465,Tempo Rogue,Rogue
2015-01-11 02:49:36.897,Roge Gazlowe Concept,Rogue
2015-01-11 06:29:47.193,Secrets Mage,Mage
2015-01-11 06:45:05.183,My Zoo,Warlock
2015-01-11 06:51:47.606,Xixo Zoo,Warlock
2015-01-11 07:25:20.322,Mecha Mage,Mage
2015-01-11 09:20:56.810,Powermace Shaman,Shaman
2015-01-11 11:13:44.712,RNGEsus,Rogue
2015-01-11 13:56:19.985,Peanuts giant GVG mage,Mage
2015-01-11 18:28:14.256,Midrange,Hunter
2015-01-11 19:49:50.950,My Handlock,Warlock
2015-01-11 19:58:52.534,Ramped Druid,Druid
2015-01-11 20:21:41.202,Control Priest,Priest
2015-01-11 21:25:04.121,Red Alert,Mage
2015-01-11 21:32:24.069,Demon Control,Warlock
2015-01-11 23:09:46.848,Amaz Anduin,Priest
2015-01-12 00:09:53.655,Faceroll Hunter,Hunter
2015-01-12 00:19:29.288,Freezed Mage,Mage
2015-01-12 00:33:18.377,Day[9] Mage,Mage
2015-01-12 01:25:00.361,ramp 2.7,Druid
2015-01-12 03:12:35.815,Mid range Burn Mage,Mage
2015-01-12 03:39:40.393,Return to Basics,Shaman
2015-01-12 06:37:18.943,PJSalt,Warrior
2015-01-12 12:25:43.000,Tempo Miracle,Rogue
2015-01-12 12:46:37.276,Deathrattle Priest,Priest
2015-01-12 13:02:01.448,Gazuin,Priest
2015-01-12 16:22:08.743,ChuggerJuggler,Mage
2015-01-12 16:51:54.950,KGLikesPie Mech Druid,Druid
2015-01-12 17:02:36.130,CancerBagel,Shaman
2015-01-12 17:09:36.425,Forever & Ever & Ever & Ever & Ever,Druid
2015-01-12 22:18:28.814,Robo-Druid,Druid
2015-01-12 22:51:45.229,Hodge-Podge-Priest,Priest
2015-01-12 23:38:00.902,Warrior Miracle,Warrior
2015-01-13 00:44:42.334,Fatigue Druid,Druid
2015-01-13 01:48:07.170,Numero Uno,Mage
2015-01-13 02:02:44.314,Dayu Board Control Mage,Mage
2015-01-13 02:07:30.889,Dayu Handlock,Warlock
2015-01-13 02:28:49.859,Deathrattle Hunter,Hunter
2015-01-13 02:31:49.344,Paladin Army,Paladin
2015-01-13 02:34:39.451,Mechanized Mage,Mage
2015-01-13 02:38:04.470,Handlock Standard,Warlock
2015-01-13 02:45:05.016,Control       Warrior asdfwaef,Warrior
2015-01-13 02:54:04.481,Beast Hunter,Hunter
2015-01-13 02:59:40.107,NEPTULOL,Shaman
2015-01-13 03:00:45.074,Real or fake?,Warlock
2015-01-13 03:14:29.183,Anub'ar Weapon Sprint,Rogue
2015-01-13 03:21:18.979,Midrange Shaman (Mech),Shaman
2015-01-13 03:22:18.594,paladinv2,Paladin
2015-01-13 03:33:16.155,Zoo Mage,Mage
2015-01-13 03:57:06.692,Fatigue Priest,Priest
2015-01-13 03:57:53.256,JakeMatters Control Hunter,Hunter
2015-01-13 04:21:37.612,Control Shaman,Shaman
2015-01-13 04:47:33.335,Midrange Shaman (Standard),Shaman
2015-01-13 05:20:06.088,◥█̆◤ TOTEMIC MIGHT ◥█̆◤,Shaman
2015-01-13 09:51:20.065,handlock for ladder,Warlock
